Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Edat_mitjana
2024,1,Ciutat Vella,1,el Raval,1,71.1
2024,1,Ciutat Vella,1,el Raval,2,96.7
2024,1,Ciutat Vella,1,el Raval,3,96.2
2024,1,Ciutat Vella,1,el Raval,4,90.2
2024,1,Ciutat Vella,1,el Raval,5,104.1
2024,1,Ciutat Vella,1,el Raval,6,122.3
2024,1,Ciutat Vella,1,el Raval,7,116.9
2024,1,Ciutat Vella,1,el Raval,8,120.6
2024,1,Ciutat Vella,1,el Raval,9,102.1
2024,1,Ciutat Vella,1,el Raval,10,128.5
2024,1,Ciutat Vella,1,el Raval,11,139.9
2024,1,Ciutat Vella,1,el Raval,12,114.1
2024,1,Ciutat Vella,1,el Raval,13,97.1
2024,1,Ciutat Vella,1,el Raval,14,138.4
2024,1,Ciutat Vella,1,el Raval,15,117
2024,1,Ciutat Vella,1,el Raval,16,115.8
2024,1,Ciutat Vella,1,el Raval,17,138.8
2024,1,Ciutat Vella,1,el Raval,18,107.6
2024,1,Ciutat Vella,1,el Raval,19,134.8
2024,1,Ciutat Vella,1,el Raval,20,124.7
2024,1,Ciutat Vella,1,el Raval,21,112.3
2024,1,Ciutat Vella,2,el Barri Gòtic,22,95.6
2024,1,Ciutat Vella,2,el Barri Gòtic,23,134.4
2024,1,Ciutat Vella,2,el Barri Gòtic,25,145.4
2024,1,Ciutat Vella,2,el Barri Gòtic,26,134.7
2024,1,Ciutat Vella,2,el Barri Gòtic,27,135.3
2024,1,Ciutat Vella,2,el Barri Gòtic,28,118.6
2024,1,Ciutat Vella,2,el Barri Gòtic,29,115.7
2024,1,Ciutat Vella,2,el Barri Gòtic,30,105.3
2024,1,Ciutat Vella,2,el Barri Gòtic,31,123.1
2024,1,Ciutat Vella,3,la Barceloneta,32,87.5
2024,1,Ciutat Vella,3,la Barceloneta,33,86.8
2024,1,Ciutat Vella,3,la Barceloneta,34,88.9
2024,1,Ciutat Vella,3,la Barceloneta,35,95.3
2024,1,Ciutat Vella,3,la Barceloneta,36,48.1
2024,1,Ciutat Vella,3,la Barceloneta,37,88
2024,1,Ciutat Vella,3,la Barceloneta,38,107.6
2024,1,Ciutat Vella,3,la Barceloneta,39,90.6
2024,1,Ciutat Vella,3,la Barceloneta,40,85.1
2024,1,Ciutat Vella,3,la Barceloneta,41,102.9
2024,1,Ciutat Vella,3,la Barceloneta,42,77.6
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,77.3
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,101.2
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,131.7
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,125.5
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,122.3
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,127.4
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,98.2
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,123
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,128.6
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,111.9
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,99.1
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,103.1
2024,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,71.9
2024,2,L'Eixample,5,el Fort Pienc,1,59.6
2024,2,L'Eixample,5,el Fort Pienc,2,57.2
2024,2,L'Eixample,5,el Fort Pienc,3,65.5
2024,2,L'Eixample,5,el Fort Pienc,4,59.3
2024,2,L'Eixample,5,el Fort Pienc,5,54.2
2024,2,L'Eixample,5,el Fort Pienc,6,64.7
2024,2,L'Eixample,5,el Fort Pienc,7,60.9
2024,2,L'Eixample,5,el Fort Pienc,8,61.4
2024,2,L'Eixample,5,el Fort Pienc,9,59.3
2024,2,L'Eixample,5,el Fort Pienc,10,56.3
2024,2,L'Eixample,5,el Fort Pienc,11,55.1
2024,2,L'Eixample,5,el Fort Pienc,12,57.4
2024,2,L'Eixample,5,el Fort Pienc,13,86
2024,2,L'Eixample,5,el Fort Pienc,14,89.4
2024,2,L'Eixample,5,el Fort Pienc,15,72.9
2024,2,L'Eixample,5,el Fort Pienc,16,67.3
2024,2,L'Eixample,5,el Fort Pienc,17,60.8
2024,2,L'Eixample,5,el Fort Pienc,18,63.1
2024,2,L'Eixample,5,el Fort Pienc,19,67
2024,2,L'Eixample,5,el Fort Pienc,20,78.5
2024,2,L'Eixample,6,la Sagrada Família,21,62.9
2024,2,L'Eixample,6,la Sagrada Família,22,64.5
2024,2,L'Eixample,6,la Sagrada Família,23,52.4
2024,2,L'Eixample,6,la Sagrada Família,24,69.9
2024,2,L'Eixample,6,la Sagrada Família,25,63.3
2024,2,L'Eixample,6,la Sagrada Família,26,65.7
2024,2,L'Eixample,6,la Sagrada Família,27,67.6
2024,2,L'Eixample,6,la Sagrada Família,28,69.8
2024,2,L'Eixample,6,la Sagrada Família,29,51.6
2024,2,L'Eixample,6,la Sagrada Família,30,62.6
2024,2,L'Eixample,6,la Sagrada Família,31,60
2024,2,L'Eixample,6,la Sagrada Família,32,59.1
2024,2,L'Eixample,6,la Sagrada Família,33,58
2024,2,L'Eixample,6,la Sagrada Família,34,73.3
2024,2,L'Eixample,6,la Sagrada Família,35,64.9
2024,2,L'Eixample,6,la Sagrada Família,36,64.5
2024,2,L'Eixample,6,la Sagrada Família,37,52.2
2024,2,L'Eixample,6,la Sagrada Família,38,55.5
2024,2,L'Eixample,6,la Sagrada Família,39,72.9
2024,2,L'Eixample,6,la Sagrada Família,40,73
2024,2,L'Eixample,6,la Sagrada Família,41,71.5
2024,2,L'Eixample,6,la Sagrada Família,42,52.7
2024,2,L'Eixample,6,la Sagrada Família,43,60.1
2024,2,L'Eixample,6,la Sagrada Família,44,64
2024,2,L'Eixample,6,la Sagrada Família,45,65.4
2024,2,L'Eixample,6,la Sagrada Família,46,73.3
2024,2,L'Eixample,6,la Sagrada Família,47,61
2024,2,L'Eixample,6,la Sagrada Família,48,64.3
2024,2,L'Eixample,6,la Sagrada Família,49,70.2
2024,2,L'Eixample,6,la Sagrada Família,50,75.1
2024,2,L'Eixample,6,la Sagrada Família,51,85.8
2024,2,L'Eixample,6,la Sagrada Família,52,74
2024,2,L'Eixample,6,la Sagrada Família,53,68.7
2024,2,L'Eixample,6,la Sagrada Família,54,76.9
2024,2,L'Eixample,7,la Dreta de l'Eixample,55,78.5
2024,2,L'Eixample,7,la Dreta de l'Eixample,56,70
2024,2,L'Eixample,7,la Dreta de l'Eixample,57,82
2024,2,L'Eixample,7,la Dreta de l'Eixample,58,86.6
2024,2,L'Eixample,7,la Dreta de l'Eixample,59,77.7
2024,2,L'Eixample,7,la Dreta de l'Eixample,60,70
2024,2,L'Eixample,7,la Dreta de l'Eixample,61,81
2024,2,L'Eixample,7,la Dreta de l'Eixample,62,99.9
2024,2,L'Eixample,7,la Dreta de l'Eixample,63,87.1
2024,2,L'Eixample,7,la Dreta de l'Eixample,64,74.1
2024,2,L'Eixample,7,la Dreta de l'Eixample,65,105.9
2024,2,L'Eixample,7,la Dreta de l'Eixample,66,68.1
2024,2,L'Eixample,7,la Dreta de l'Eixample,67,81.4
2024,2,L'Eixample,7,la Dreta de l'Eixample,68,85.8
2024,2,L'Eixample,7,la Dreta de l'Eixample,69,75.9
2024,2,L'Eixample,7,la Dreta de l'Eixample,70,83.9
2024,2,L'Eixample,7,la Dreta de l'Eixample,71,85.2
2024,2,L'Eixample,7,la Dreta de l'Eixample,72,84.9
2024,2,L'Eixample,7,la Dreta de l'Eixample,73,91.5
2024,2,L'Eixample,7,la Dreta de l'Eixample,74,110.6
2024,2,L'Eixample,7,la Dreta de l'Eixample,75,105.1
2024,2,L'Eixample,7,la Dreta de l'Eixample,76,93.7
2024,2,L'Eixample,7,la Dreta de l'Eixample,77,83
2024,2,L'Eixample,7,la Dreta de l'Eixample,78,77.6
2024,2,L'Eixample,7,la Dreta de l'Eixample,79,86.6
2024,2,L'Eixample,7,la Dreta de l'Eixample,80,92.2
2024,2,L'Eixample,7,la Dreta de l'Eixample,81,95.1
2024,2,L'Eixample,7,la Dreta de l'Eixample,82,82.4
2024,2,L'Eixample,7,la Dreta de l'Eixample,83,89.1
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,84,102.4
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,85,84
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,86,93.7
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,87,81.1
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,88,89.5
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,89,97.3
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,90,114.3
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,91,102.5
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,92,103.3
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,93,82.7
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,94,79.6
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,95,88.6
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,96,87.9
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,97,83.5
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,98,99
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,99,91.9
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,100,54.4
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,101,74.4
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,102,79.7
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,103,91.8
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,104,55.7
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,105,79.4
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,106,81.9
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,107,67.1
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,108,66.4
2024,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,109,66.2
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,110,68.2
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,111,65.5
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,112,51.3
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,113,42.7
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,114,57.7
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,115,80.2
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,116,56.9
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,117,55.4
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,118,58.4
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,119,58.3
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,120,92.3
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,121,53.2
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,122,53.4
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,123,73
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,124,47.4
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,125,54.3
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,126,51
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,127,61.1
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,128,72.3
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,129,62.7
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,130,50.9
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,131,65
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,132,66.8
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,133,65.8
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,134,71
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,135,81
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,136,60
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,137,72.4
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,138,56.6
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,139,76.6
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,140,77.7
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,141,67.8
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,142,79.9
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,143,74.3
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,144,85.1
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,145,83.4
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,146,70.3
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,147,70.8
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,148,59.6
2024,2,L'Eixample,9,la Nova Esquerra de l'Eixample,149,82
2024,2,L'Eixample,10,Sant Antoni,150,86.1
2024,2,L'Eixample,10,Sant Antoni,151,79
2024,2,L'Eixample,10,Sant Antoni,152,63.7
2024,2,L'Eixample,10,Sant Antoni,153,56.9
2024,2,L'Eixample,10,Sant Antoni,154,80.1
2024,2,L'Eixample,10,Sant Antoni,155,76
2024,2,L'Eixample,10,Sant Antoni,156,57.6
2024,2,L'Eixample,10,Sant Antoni,157,65.6
2024,2,L'Eixample,10,Sant Antoni,158,73.3
2024,2,L'Eixample,10,Sant Antoni,159,80.4
2024,2,L'Eixample,10,Sant Antoni,160,77.4
2024,2,L'Eixample,10,Sant Antoni,161,76.2
2024,2,L'Eixample,10,Sant Antoni,162,72.5
2024,2,L'Eixample,10,Sant Antoni,163,77.9
2024,2,L'Eixample,10,Sant Antoni,164,114.9
2024,2,L'Eixample,10,Sant Antoni,165,87.2
2024,2,L'Eixample,10,Sant Antoni,166,92.5
2024,2,L'Eixample,10,Sant Antoni,167,68.5
2024,2,L'Eixample,10,Sant Antoni,168,80.6
2024,2,L'Eixample,10,Sant Antoni,169,102.1
2024,2,L'Eixample,10,Sant Antoni,170,79.7
2024,2,L'Eixample,10,Sant Antoni,171,81.6
2024,2,L'Eixample,10,Sant Antoni,172,92.3
2024,2,L'Eixample,10,Sant Antoni,173,81.2
2024,3,Sants-Montjuïc,11,el Poble Sec,1,63.7
2024,3,Sants-Montjuïc,11,el Poble Sec,2,85.2
2024,3,Sants-Montjuïc,11,el Poble Sec,3,87.2
2024,3,Sants-Montjuïc,11,el Poble Sec,4,75
2024,3,Sants-Montjuïc,11,el Poble Sec,5,72.2
2024,3,Sants-Montjuïc,11,el Poble Sec,6,72
2024,3,Sants-Montjuïc,11,el Poble Sec,7,72
2024,3,Sants-Montjuïc,11,el Poble Sec,8,99.2
2024,3,Sants-Montjuïc,11,el Poble Sec,9,74.5
2024,3,Sants-Montjuïc,11,el Poble Sec,10,91.8
2024,3,Sants-Montjuïc,11,el Poble Sec,11,106.3
2024,3,Sants-Montjuïc,11,el Poble Sec,12,101
2024,3,Sants-Montjuïc,11,el Poble Sec,13,104.9
2024,3,Sants-Montjuïc,11,el Poble Sec,14,99
2024,3,Sants-Montjuïc,11,el Poble Sec,15,93.6
2024,3,Sants-Montjuïc,11,el Poble Sec,16,77.6
2024,3,Sants-Montjuïc,11,el Poble Sec,17,97.7
2024,3,Sants-Montjuïc,11,el Poble Sec,18,67.9
2024,3,Sants-Montjuïc,11,el Poble Sec,19,75.8
2024,3,Sants-Montjuïc,11,el Poble Sec,20,49.7
2024,3,Sants-Montjuïc,11,el Poble Sec,21,50.4
2024,3,Sants-Montjuïc,11,el Poble Sec,22,64.3
2024,3,Sants-Montjuïc,11,el Poble Sec,23,78.3
2024,3,Sants-Montjuïc,11,el Poble Sec,24,89.6
2024,3,Sants-Montjuïc,12,la Marina del Prat Vermell,25,24.7
2024,3,Sants-Montjuïc,13,la Marina de Port,26,50.5
2024,3,Sants-Montjuïc,13,la Marina de Port,27,36.8
2024,3,Sants-Montjuïc,13,la Marina de Port,28,21.8
2024,3,Sants-Montjuïc,13,la Marina de Port,29,40.7
2024,3,Sants-Montjuïc,13,la Marina de Port,30,54.7
2024,3,Sants-Montjuïc,13,la Marina de Port,31,48
2024,3,Sants-Montjuïc,13,la Marina de Port,32,36.8
2024,3,Sants-Montjuïc,13,la Marina de Port,33,64.7
2024,3,Sants-Montjuïc,13,la Marina de Port,34,47.1
2024,3,Sants-Montjuïc,13,la Marina de Port,35,48.3
2024,3,Sants-Montjuïc,13,la Marina de Port,36,41.7
2024,3,Sants-Montjuïc,13,la Marina de Port,37,41.7
2024,3,Sants-Montjuïc,13,la Marina de Port,38,46.9
2024,3,Sants-Montjuïc,13,la Marina de Port,39,46.1
2024,3,Sants-Montjuïc,13,la Marina de Port,211,40.9
2024,3,Sants-Montjuïc,13,la Marina de Port,212,55.9
2024,3,Sants-Montjuïc,13,la Marina de Port,213,55.3
2024,3,Sants-Montjuïc,14,la Font de la Guatlla,40,41.7
2024,3,Sants-Montjuïc,14,la Font de la Guatlla,41,59.1
2024,3,Sants-Montjuïc,14,la Font de la Guatlla,42,65
2024,3,Sants-Montjuïc,14,la Font de la Guatlla,43,55.3
2024,3,Sants-Montjuïc,14,la Font de la Guatlla,44,66.1
2024,3,Sants-Montjuïc,14,la Font de la Guatlla,45,61
2024,3,Sants-Montjuïc,14,la Font de la Guatlla,46,46.5
2024,3,Sants-Montjuïc,15,Hostafrancs,47,78.9
2024,3,Sants-Montjuïc,15,Hostafrancs,48,71
2024,3,Sants-Montjuïc,15,Hostafrancs,49,77.7
2024,3,Sants-Montjuïc,15,Hostafrancs,50,76.2
2024,3,Sants-Montjuïc,15,Hostafrancs,51,85.7
2024,3,Sants-Montjuïc,15,Hostafrancs,52,79.7
2024,3,Sants-Montjuïc,15,Hostafrancs,53,76.9
2024,3,Sants-Montjuïc,15,Hostafrancs,54,60.5
2024,3,Sants-Montjuïc,15,Hostafrancs,55,50
2024,3,Sants-Montjuïc,15,Hostafrancs,56,50.5
2024,3,Sants-Montjuïc,16,la Bordeta,57,54.9
2024,3,Sants-Montjuïc,16,la Bordeta,58,36.1
2024,3,Sants-Montjuïc,16,la Bordeta,59,55
2024,3,Sants-Montjuïc,16,la Bordeta,60,53.1
2024,3,Sants-Montjuïc,16,la Bordeta,61,68.7
2024,3,Sants-Montjuïc,16,la Bordeta,62,74.9
2024,3,Sants-Montjuïc,16,la Bordeta,63,59.1
2024,3,Sants-Montjuïc,16,la Bordeta,64,24.8
2024,3,Sants-Montjuïc,16,la Bordeta,65,42.8
2024,3,Sants-Montjuïc,16,la Bordeta,66,50
2024,3,Sants-Montjuïc,16,la Bordeta,67,50.3
2024,3,Sants-Montjuïc,16,la Bordeta,68,53.9
2024,3,Sants-Montjuïc,16,la Bordeta,69,47.4
2024,3,Sants-Montjuïc,17,Sants-Badal,70,57
2024,3,Sants-Montjuïc,17,Sants-Badal,71,60.2
2024,3,Sants-Montjuïc,17,Sants-Badal,72,68.9
2024,3,Sants-Montjuïc,17,Sants-Badal,73,62.1
2024,3,Sants-Montjuïc,17,Sants-Badal,74,59.4
2024,3,Sants-Montjuïc,17,Sants-Badal,75,56.3
2024,3,Sants-Montjuïc,17,Sants-Badal,76,53.5
2024,3,Sants-Montjuïc,17,Sants-Badal,77,52.4
2024,3,Sants-Montjuïc,17,Sants-Badal,78,58
2024,3,Sants-Montjuïc,17,Sants-Badal,79,64.5
2024,3,Sants-Montjuïc,17,Sants-Badal,80,53.3
2024,3,Sants-Montjuïc,17,Sants-Badal,81,57.7
2024,3,Sants-Montjuïc,17,Sants-Badal,82,56.1
2024,3,Sants-Montjuïc,17,Sants-Badal,83,58.7
2024,3,Sants-Montjuïc,17,Sants-Badal,84,51.8
2024,3,Sants-Montjuïc,17,Sants-Badal,85,59.2
2024,3,Sants-Montjuïc,18,Sants,86,47.9
2024,3,Sants-Montjuïc,18,Sants,87,59.5
2024,3,Sants-Montjuïc,18,Sants,88,65
2024,3,Sants-Montjuïc,18,Sants,89,54.6
2024,3,Sants-Montjuïc,18,Sants,90,55
2024,3,Sants-Montjuïc,18,Sants,91,79.6
2024,3,Sants-Montjuïc,18,Sants,92,62.9
2024,3,Sants-Montjuïc,18,Sants,93,61
2024,3,Sants-Montjuïc,18,Sants,94,62.7
2024,3,Sants-Montjuïc,18,Sants,95,65.5
2024,3,Sants-Montjuïc,18,Sants,96,86.7
2024,3,Sants-Montjuïc,18,Sants,97,79.9
2024,3,Sants-Montjuïc,18,Sants,98,69.8
2024,3,Sants-Montjuïc,18,Sants,99,89.9
2024,3,Sants-Montjuïc,18,Sants,100,75.6
2024,3,Sants-Montjuïc,18,Sants,101,78.2
2024,3,Sants-Montjuïc,18,Sants,102,72.7
2024,3,Sants-Montjuïc,18,Sants,103,56.6
2024,3,Sants-Montjuïc,18,Sants,104,93.4
2024,3,Sants-Montjuïc,18,Sants,105,82.5
2024,3,Sants-Montjuïc,18,Sants,106,105.2
2024,3,Sants-Montjuïc,18,Sants,107,66.1
2024,3,Sants-Montjuïc,18,Sants,108,78.1
2024,3,Sants-Montjuïc,18,Sants,109,76.7
2024,3,Sants-Montjuïc,18,Sants,110,70
2024,3,Sants-Montjuïc,18,Sants,111,70.2
2024,3,Sants-Montjuïc,18,Sants,112,54.8
2024,3,Sants-Montjuïc,18,Sants,113,56.2
2024,3,Sants-Montjuïc,18,Sants,114,52.5
2024,4,Les Corts,19,les Corts,1,58
2024,4,Les Corts,19,les Corts,2,43.4
2024,4,Les Corts,19,les Corts,3,47
2024,4,Les Corts,19,les Corts,4,51.7
2024,4,Les Corts,19,les Corts,5,55.3
2024,4,Les Corts,19,les Corts,6,51.8
2024,4,Les Corts,19,les Corts,7,52.3
2024,4,Les Corts,19,les Corts,8,63.9
